source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
10.21.149.251,10.21.149.160,57178.0,53.0,UDP,2,166,3.2313263416290283,0.6189408894527588,51.37209382457898,83.0,1,1,0,0
104.208.16.94,10.21.149.251,443.0,53540.0,TCP,2,202,0.5142722129821777,3.888990984759487,392.7880894607082,101.0,1,1,0,0
10.21.149.251,104.208.16.94,53540.0,443.0,TCP,1,89,0.001,1000.0,89000.0,89.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,57178.0,UDP,2,574,3.1875317096710205,0.6274447384890224,180.07663994634945,287.0,1,1,0,0
10.21.149.251,4.150.223.111,58912.0,443.0,TCP,14,6948,2.2835299968719482,6.130858810340851,3042.657643874874,496.2857142857143,1,1,1,0
4.150.223.111,10.21.149.251,443.0,58912.0,TCP,14,8015,2.18092942237854,6.419281548658041,3675.0386866067283,572.5,1,1,1,0
10.21.149.251,172.64.155.209,58913.0,443.0,TCP,15,7598,2.140130043029785,7.00891987795493,3550.25154884677,506.53333333333336,1,1,1,0
172.64.155.209,10.21.149.251,443.0,58913.0,TCP,23,15616,2.098503589630127,10.96019092540789,7441.493108311722,678.9565217391304,1,1,1,0
10.21.149.251,10.21.149.160,64586.0,53.0,UDP,1,72,0.001,1000.0,72000.0,72.0,1,1,0,0
10.21.149.251,10.21.149.160,50543.0,53.0,UDP,1,72,0.001,1000.0,72000.0,72.0,1,1,0,0
10.21.149.251,10.21.149.160,62465.0,53.0,UDP,2,142,0.5391445159912109,3.709580531155034,263.38021771200744,71.0,1,1,0,0
10.21.149.251,10.21.149.160,58284.0,53.0,UDP,1,72,0.001,1000.0,72000.0,72.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,64586.0,UDP,1,254,0.001,1000.0,254000.0,254.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,50543.0,UDP,1,257,0.001,1000.0,257000.0,257.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,62465.0,UDP,2,386,0.5134322643280029,3.895353173057143,751.8031624000286,193.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,58284.0,UDP,1,197,0.001,1000.0,197000.0,197.0,1,1,0,0
10.21.149.251,204.79.197.203,60702.0,443.0,TCP,13,3855,0.3785073757171631,34.345433759035004,10184.742087775381,296.53846153846155,1,1,1,0
10.21.149.251,49.44.136.16,58290.0,443.0,TCP,7,2615,0.2104203701019287,33.266741221912895,12427.504042186032,373.57142857142856,1,1,1,0
10.21.149.251,224.0.0.251,5353.0,5353.0,UDP,2,164,0.9819736480712891,2.0367145329492637,167.01059170183962,82.0,1,1,0,0
10.21.149.251,10.21.149.160,63164.0,53.0,UDP,1,69,0.001,1000.0,69000.0,69.0,1,1,0,0
10.21.149.251,10.21.149.160,60710.0,53.0,UDP,1,69,0.001,1000.0,69000.0,69.0,1,1,0,0
10.21.149.251,10.21.149.160,57538.0,53.0,UDP,1,84,0.001,1000.0,84000.0,84.0,1,1,0,0
10.21.149.251,10.21.149.160,65084.0,53.0,UDP,1,84,0.001,1000.0,84000.0,84.0,1,1,0,0
10.21.149.251,10.21.149.160,57771.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
10.21.149.251,10.21.149.160,63907.0,53.0,UDP,1,87,0.001,1000.0,87000.0,87.0,1,1,0,0
49.44.136.16,10.21.149.251,443.0,58290.0,TCP,6,1981,0.11288571357727051,53.15110132065549,17548.721952703087,330.1666666666667,1,1,1,0
204.79.197.203,10.21.149.251,443.0,60702.0,TCP,19,10893,0.2566184997558594,74.03986859122058,42448.22571390346,573.3157894736842,1,1,1,0
10.21.149.160,10.21.149.251,53.0,63164.0,UDP,1,261,0.001,1000.0,261000.0,261.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,60710.0,UDP,1,213,0.001,1000.0,213000.0,213.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,65084.0,UDP,1,148,0.001,1000.0,148000.0,148.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,57538.0,UDP,1,165,0.001,1000.0,165000.0,165.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,57771.0,UDP,1,275,0.001,1000.0,275000.0,275.0,1,1,0,0
10.21.149.251,150.171.110.84,62600.0,443.0,TCP,23,15404,1.3236496448516846,17.37619927558486,11637.520593091704,669.7391304347826,1,1,1,0
10.21.149.251,18.161.216.63,56562.0,443.0,TCP,11,3582,0.3625345230102539,30.341937944731615,9880.438338002605,325.6363636363636,1,1,1,0
10.21.149.160,10.21.149.251,53.0,63907.0,UDP,1,214,0.001,1000.0,214000.0,214.0,1,1,0,0
10.21.149.251,20.184.175.16,55207.0,443.0,TCP,68,82818,1.6436021327972412,41.37254305229637,50388.10691919237,1217.9117647058824,1,1,1,0
18.161.216.63,10.21.149.251,443.0,56562.0,TCP,12,2702,0.2983415126800537,40.222360918539,9056.734933491032,225.16666666666666,1,1,1,0
150.171.110.84,10.21.149.251,443.0,62600.0,TCP,19,3900,1.2753074169158936,14.898368619189995,3058.0861902547886,205.26315789473685,1,1,1,0
